
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    7176 Console                    4     13,432 K
chrome.exe                    2948 Console                    4     15,276 K
chrome.exe                   10692 Console                    4     11,220 K
Code.exe                     19380 Console                    4     64,772 K
Code.exe                     12588 Console                    4      3,068 K
Code.exe                     16820 Console                    4    115,332 K
Code.exe                      8656 Console                    4     14,796 K
Code.exe                      6744 Console                    4    275,276 K
Code.exe                     10476 Console                    4     14,168 K
Code.exe                     16420 Console                    4     54,980 K
Code.exe                     10900 Console                    4     26,000 K
Code.exe                     10740 Console                    4     12,684 K
Code.exe                      9796 Console                    4    347,700 K
OpenConsole.exe               5704 Console                    4        196 K
OpenConsole.exe                784 Console                    4        168 K
OpenConsole.exe               1552 Console                    4        220 K
OpenConsole.exe               6788 Console                    4        196 K
OpenConsole.exe              15340 Console                    4        196 K
OpenConsole.exe              15508 Console                    4        148 K
OpenConsole.exe               6168 Console                    4        144 K
OpenConsole.exe               1392 Console                    4        156 K
OpenConsole.exe               8496 Console                    4        192 K
OpenConsole.exe              13652 Console                    4        196 K
OpenConsole.exe              17208 Console                    4        196 K
OpenConsole.exe              13172 Console                    4      3,864 K
OpenConsole.exe              14816 Console                    4      3,860 K
Code.exe                     15860 Console                    4      3,680 K
pwsh.exe                      4912 Console                    4      8,692 K
pwsh.exe                     10508 Console                    4     20,648 K
pwsh.exe                      2116 Console                    4      5,940 K
pwsh.exe                     18196 Console                    4      8,848 K
pwsh.exe                      4856 Console                    4     11,100 K
pwsh.exe                      5684 Console                    4     14,880 K
pwsh.exe                      4796 Console                    4      5,540 K
pwsh.exe                     14252 Console                    4      3,888 K
pwsh.exe                     12640 Console                    4     17,568 K
pwsh.exe                      7428 Console                    4      8,152 K
pwsh.exe                      3732 Console                    4      8,076 K
pwsh.exe                     14948 Console                    4      9,204 K
pwsh.exe                      3356 Console                    4     13,320 K
Code.exe                      5696 Console                    4      2,996 K
Code.exe                      7608 Console                    4      6,360 K
Code.exe                     16148 Console                    4      1,796 K
Code.exe                     16256 Console                    4     11,504 K
Code.exe                      6076 Console                    4    184,468 K
svchost.exe                  17776 Services                   0      5,708 K
OneDrive.Sync.Service.exe    17864 Console                    4     47,784 K
chrome.exe                   19148 Console                    4      5,072 K
elevation_service.exe         3932 Services                   0     11,228 K
Code.exe                     17712 Console                    4     17,716 K
OpenConsole.exe              12528 Console                    4      7,460 K
pwsh.exe                     15456 Console                    4     12,356 K
SearchIndexer.exe            14732 Services                   0     17,420 K
MicrosoftEdgeUpdate.exe       6064 Services                   0      3,932 K
SearchApp.exe                10160 Console                    4         12 K
msedge.exe                   14768 Console                    4     26,108 K
msedge.exe                   19248 Console                    4      8,380 K
msedge.exe                   18336 Console                    4     15,724 K
msedge.exe                   13592 Console                    4      5,120 K
msedge.exe                   16648 Console                    4      3,068 K
svchost.exe                  15436 Services                   0      3,420 K
taskhostw.exe                20432 Console                    4        772 K
MicrosoftEdgeUpdate.exe      12552 Services                   0     16,040 K
MicrosoftEdgeUpdate.exe       6900 Services                   0      2,832 K
MicrosoftEdge_X64_151.0.4    13976 Services                   0      5,756 K
setup.exe                    19612 Services                   0     19,936 K
rundll32.exe                 17732 Console                    4      5,524 K
chrome.exe                    6472 Console                    4     11,088 K
SearchProtocolHost.exe        2496 Services                   0      3,760 K
chrome.exe                    6120 Console                    4      3,928 K
NisSrv.exe                     820 Services                   0      9,784 K
svchost.exe                   8556 Services                   0      7,588 K
svchost.exe                   7760 Services                   0     38,452 K
backgroundTaskHost.exe       14244 Console                    4     18,484 K
SearchFilterHost.exe         17016 Services                   0      7,568 K
setup.exe                     5240 Services                   0     12,448 K
svchost.exe                   5180 Services                   0      7,812 K
OpenConsole.exe               7228 Console                    4      8,680 K
pwsh.exe                     15000 Console                    4     94,948 K
cmd.exe                      16668 Console                    4      4,756 K
tasklist.exe                 16028 Console                    4      9,428 K
WmiPrvSE.exe                 19396 Services                   0      9,732 K
